State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value,Date_Month_Year,Date
AK,2015,April,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126,April2015,2015-04-01
AK,2015,August,12 month-ending,Number of Drug Overdose Deaths,124.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,124,August2015,2015-08-01
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121,December2015,2015-12-01
AK,2015,February,12 month-ending,Number of Drug Overdose Deaths,127.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127,February2015,2015-02-01
AK,2015,January,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126,January2015,2015-01-01
AK,2015,July,12 month-ending,Number of Drug Overdose Deaths,117.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,117,July2015,2015-07-01
AK,2015,June,12 month-ending,Number of Drug Overdose Deaths,121.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121,June2015,2015-06-01
AK,2015,March,12 month-ending,Number of Drug Overdose Deaths,125.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,March2015,2015-03-01
AK,2015,May,12 month-ending,Number of Drug Overdose Deaths,125.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,May2015,2015-05-01
AK,2015,November,12 month-ending,Number of Drug Overdose Deaths,115.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,115,November2015,2015-11-01
AK,2015,October,12 month-ending,Number of Drug Overdose Deaths,120.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,120,October2015,2015-10-01
AK,2015,September,12 month-ending,Number of Drug Overdose Deaths,125.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,September2015,2015-09-01
AK,2016,April,12 month-ending,Number of Drug Overdose Deaths,132.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,132,April2016,2016-04-01
AK,2016,August,12 month-ending,Number of Drug Overdose Deaths,138.0,,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138,August2016,2016-08-01
AK,2016,December,12 month-ending,Number of Drug Overdose Deaths,129.0,,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,130,December2016,2016-12-01
AK,2016,February,12 month-ending,Number of Drug Overdose Deaths,128.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128,February2016,2016-02-01
AK,2016,January,12 month-ending,Number of Drug Overdose Deaths,126.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126,January2016,2016-01-01
AK,2016,July,12 month-ending,Number of Drug Overdose Deaths,143.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,143,July2016,2016-07-01
AK,2016,June,12 month-ending,Number of Drug Overdose Deaths,138.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138,June2016,2016-06-01
AK,2016,March,12 month-ending,Number of Drug Overdose Deaths,125.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,March2016,2016-03-01
AK,2016,May,12 month-ending,Number of Drug Overdose Deaths,140.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,140,May2016,2016-05-01
AK,2016,November,12 month-ending,Number of Drug Overdose Deaths,133.0,,0.069946374,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,134,November2016,2016-11-01
AK,2016,October,12 month-ending,Number of Drug Overdose Deaths,131.0,,0.069913773,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,132,October2016,2016-10-01
AK,2016,September,12 month-ending,Number of Drug Overdose Deaths,131.0,,0.046992481,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,132,September2016,2016-09-01
AK,2017,April,12 month-ending,Number of Drug Overdose Deaths,117.0,,0.069364162,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,118,April2017,2017-04-01
AK,2017,August,12 month-ending,Number of Drug Overdose Deaths,137.0,,0.047236656,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138,August2017,2017-08-01
AK,2017,December,12 month-ending,Number of Drug Overdose Deaths,141.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,141,December2017,2017-12-01
AK,2017,February,12 month-ending,Number of Drug Overdose Deaths,124.0,,0.069013112,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,February2017,2017-02-01
AK,2017,January,12 month-ending,Number of Drug Overdose Deaths,126.0,,0.068587106,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127,January2017,2017-01-01
AK,2017,July,12 month-ending,Number of Drug Overdose Deaths,128.0,,0.07082153,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,129,July2017,2017-07-01
AK,2017,June,12 month-ending,Number of Drug Overdose Deaths,122.0,,0.070159027,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,123,June2017,2017-06-01
AK,2017,March,12 month-ending,Number of Drug Overdose Deaths,126.0,,0.068823125,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127,March2017,2017-03-01
AK,2017,May,12 month-ending,Number of Drug Overdose Deaths,120.0,,0.070142623,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121,May2017,2017-05-01
AK,2017,November,12 month-ending,Number of Drug Overdose Deaths,138.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138,November2017,2017-11-01
AK,2017,October,12 month-ending,Number of Drug Overdose Deaths,144.0,,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,144,October2017,2017-10-01
AK,2017,September,12 month-ending,Number of Drug Overdose Deaths,148.0,,0.023261224,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,148,September2017,2017-09-01
AK,2018,April,12 month-ending,Number of Drug Overdose Deaths,142.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,142,April2018,2018-04-01
AK,2018,August,12 month-ending,Number of Drug Overdose Deaths,110.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,110,August2018,2018-08-01
AK,2018,December,12 month-ending,Number of Drug Overdose Deaths,105.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,105,December2018,2018-12-01
AK,2018,February,12 month-ending,Number of Drug Overdose Deaths,139.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,139,February2018,2018-02-01
AK,2018,January,12 month-ending,Number of Drug Overdose Deaths,138.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138,January2018,2018-01-01
AK,2018,July,12 month-ending,Number of Drug Overdose Deaths,116.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,116,July2018,2018-07-01
AK,2018,June,12 month-ending,Number of Drug Overdose Deaths,125.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125,June2018,2018-06-01
AK,2018,March,12 month-ending,Number of Drug Overdose Deaths,136.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,136,March2018,2018-03-01
AK,2018,May,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126,May2018,2018-05-01
AK,2018,November,12 month-ending,Number of Drug Overdose Deaths,106.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,106,November2018,2018-11-01
AK,2018,October,12 month-ending,Number of Drug Overdose Deaths,99.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,99,October2018,2018-10-01
AK,2018,September,12 month-ending,Number of Drug Overdose Deaths,100.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,100,September2018,2018-09-01
AK,2019,April,12 month-ending,Number of Drug Overdose Deaths,119.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,119,April2019,2019-04-01
AK,2019,August,12 month-ending,Number of Drug Overdose Deaths,130.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,130,August2019,2019-08-01
AK,2019,December,12 month-ending,Number of Drug Overdose Deaths,133.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,133,December2019,2019-12-01
AK,2019,February,12 month-ending,Number of Drug Overdose Deaths,115.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,115,February2019,2019-02-01
AK,2019,January,12 month-ending,Number of Drug Overdose Deaths,107.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,107,January2019,2019-01-01
AK,2019,July,12 month-ending,Number of Drug Overdose Deaths,135.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,135,July2019,2019-07-01
AK,2019,June,12 month-ending,Number of Drug Overdose Deaths,132.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,132,June2019,2019-06-01
AK,2019,March,12 month-ending,Number of Drug Overdose Deaths,124.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,124,March2019,2019-03-01
AK,2019,May,12 month-ending,Number of Drug Overdose Deaths,128.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128,May2019,2019-05-01
AK,2019,November,12 month-ending,Number of Drug Overdose Deaths,139.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,139,November2019,2019-11-01
AK,2019,October,12 month-ending,Number of Drug Overdose Deaths,146.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,146,October2019,2019-10-01
AK,2019,September,12 month-ending,Number of Drug Overdose Deaths,136.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,136,September2019,2019-09-01
