"fips","state","densityMi","pop2024","pop2023","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","area","rank","percent"
"6","California",249.64706,38889770,38965193,39503200,39437610,37319550,-0.00194,-75423,0.04207,155779,1,0.11578768496693365
"48","Texas",118.57948,30976754,30503301,29234361,28986794,25241897,0.01552,473453,0.2272,261232,2,0.09222802380806577
"12","Florida",428.45559,22975931,22610726,21591299,21492056,18846143,0.01615,365205,0.21913,53625,3,0.06840693222022154
"36","New York",413.13143,19469232,19571216,20104710,19463131,19399956,-0.00521,-101984,0.00357,47126,4,0.05796633154076621
"42","Pennsylvania",289.45925,12951275,12961683,12995477,12798883,12711406,-0.0008,-10408,0.01887,44743,5,0.03856022161149638
"17","Illinois",225.45188,12516863,12549689,12790357,12667017,12840545,-0.00262,-32826,-0.02521,55519,6,0.037266833663924165
"39","Ohio",289.08184,11812173,11785935,11798292,11696507,11539449,0.00223,26238,0.02363,40861,7,0.035168738876545674
"13","Georgia",193.78756,11145304,11029227,10732390,10628020,9712209,0.01052,116077,0.14756,57513,8,0.03318324969298367
"37","North Carolina",225.73979,10975017,10835491,10453812,10501384,9574586,0.01288,139526,0.14627,48618,9,0.03267624907277007
"26","Michigan",177.59849,10041241,10037261,10070627,9984795,9877597,0.0004,3980,0.01657,56539,10,0.029896089629356457
"34","New Jersey",1267.45513,9320865,9290841,9272392,8891258,8799451,0.00323,30024,0.05926,7354,11,0.027751292441156584
"51","Virginia",221.63325,8752297,8715698,8637193,8556642,8024004,0.0042,36599,0.09076,39490,12,0.026058477789224224
"53","Washington",117.9921,7841283,7812880,7724566,7614024,6743009,0.00364,28403,0.16288,66456,13,0.023346088334813303
"4","Arizona",65.99824,7497004,7431344,7186683,7291843,6407342,0.00884,65660,0.17006,113594,14,0.022321056086159457
"47","Tennessee",174.706,7204002,7126489,6926091,6830325,6355518,0.01088,77513,0.1335,41235,15,0.0214486923958964
"25","Massachusetts",900.00744,7020058,7001399,6997713,6894883,6566440,0.00267,18659,0.06908,7800,16,0.020901030377747216
"18","Indiana",192.37771,6892124,6862199,6789098,6731010,6490555,0.00436,29925,0.06187,35826,17,0.02052012862161547
"29","Missouri",90.41262,6215144,6196156,6154426,6140475,5996089,0.00306,18988,0.03653,68742,18,0.018504535652849784
"24","Maryland",638.35634,6196525,6180253,6173689,6054954,5788784,0.00263,16272,0.07044,9707,19,0.01844910074268191
"55","Wisconsin",109.51968,5931367,5910955,5896700,5824581,5690538,0.00345,20412,0.04232,54158,20,0.017659637833272512
"8","Colorado",57.06356,5914181,5877610,5785219,5758486,5047539,0.00622,36571,0.1717,103642,21,0.01760846943721767
"27","Minnesota",72.35649,5761530,5737915,5710578,5640053,5310934,0.00412,23615,0.08484,79627,22,0.017153977011628952
